Inferencer=GDR
Selector=SHR
Reading graph data...
Selecting train set...
Number of typeA = 1.0
Number of typeB = 4.0
Number of typeC = 0.0
Inferencing...
Iter = 0
ObjValue = 301241.347685
Iter = 1
Delta = 0.338663
ObjValue = 225228.158298
Iter = 2
Delta = 0.024574
ObjValue = 223922.715829
Iter = 3
Delta = 0.022166
ObjValue = 223360.072041
Iter = 4
Delta = 0.021432
ObjValue = 222795.506980
Iter = 5
Delta = 0.019765
ObjValue = 222503.902276
Iter = 6
Delta = 0.017942
ObjValue = 222208.307427
Iter = 7
Delta = 0.016619
ObjValue = 222068.721913
Iter = 8
Delta = 0.015135
ObjValue = 221909.651306
Iter = 9
Delta = 0.013785
ObjValue = 221888.407259
Iter = 10
Delta = 0.011783
ObjValue = 221778.411465
Iter = 11
Delta = 0.011785
ObjValue = 221800.972104
Iter = 12
Delta = 0.010857
ObjValue = 221722.911759
Iter = 13
Delta = 0.010714
ObjValue = 221761.004022
Iter = 14
Delta = 0.010084
ObjValue = 221705.027816
Iter = 15
Delta = 0.010241
ObjValue = 221732.428222
Iter = 16
Delta = 0.009897
ObjValue = 221703.954477
Iter = 17
Delta = 0.009449
ObjValue = 221718.949059
Iter = 18
Delta = 0.009244
ObjValue = 221709.172870
Iter = 19
Delta = 0.009203
ObjValue = 221719.815383
Iter = 20
Delta = 0.009282
ObjValue = 221716.195257
Iter = 21
Delta = 0.009101
ObjValue = 221724.114822
Iter = 22
Delta = 0.009188
ObjValue = 221722.368723
Iter = 23
Delta = 0.009156
ObjValue = 221729.817256
Iter = 24
Delta = 0.009065
ObjValue = 221729.697576
Iter = 25
Delta = 0.009085
ObjValue = 221737.554806
Iter = 26
Delta = 0.009066
ObjValue = 221739.561438
Iter = 27
Delta = 0.008921
ObjValue = 221747.023989
Iter = 28
Delta = 0.008920
ObjValue = 221749.194615
Iter = 29
Delta = 0.009009
ObjValue = 221754.283865
Iter = 30
Delta = 0.008966
ObjValue = 221758.878582
Iter = 31
Delta = 0.008790
ObjValue = 221761.541560
Iter = 32
Delta = 0.008804
ObjValue = 221767.769486
Iter = 33
Delta = 0.008781
ObjValue = 221766.614181
Iter = 34
Delta = 0.009130
ObjValue = 221775.708476
Iter = 35
Delta = 0.008920
ObjValue = 221771.559948
Iter = 36
Delta = 0.008837
ObjValue = 221782.679712
Iter = 37
Delta = 0.008782
ObjValue = 221778.277473
Iter = 38
Delta = 0.008780
ObjValue = 221789.834929
Iter = 39
Delta = 0.008697
ObjValue = 221784.959351
Iter = 40
Delta = 0.009041
ObjValue = 221796.437509
Iter = 41
Delta = 0.008917
ObjValue = 221790.296413
Iter = 42
Delta = 0.009034
ObjValue = 221802.634751
Iter = 43
Delta = 0.009243
ObjValue = 221793.096486
Iter = 44
Delta = 0.008750
ObjValue = 221804.311614
Iter = 45
Delta = 0.008833
ObjValue = 221792.245063
Iter = 46
Delta = 0.009100
ObjValue = 221801.299057
Iter = 47
Delta = 0.009793
ObjValue = 221775.952748
Iter = 48
Delta = 0.009950
ObjValue = 221784.539481
Iter = 49
Delta = 0.007664
ObjValue = 221753.579393
Iter = 50
Delta = 0.007220
ObjValue = 221767.559550
Iter = 51
Delta = 0.007424
ObjValue = 221733.328594
Iter = 52
Delta = 0.007484
ObjValue = 221742.811166
Iter = 53
Delta = 0.007463
ObjValue = 221708.085029
Iter = 54
Delta = 0.007317
ObjValue = 221711.195865
Iter = 55
Delta = 0.007077
ObjValue = 221682.838388
Iter = 56
Delta = 0.006762
ObjValue = 221683.117351
Iter = 57
Delta = 0.006982
ObjValue = 221654.620355
Iter = 58
Delta = 0.006211
ObjValue = 221649.378219
Iter = 59
Delta = 0.005783
ObjValue = 221627.392446
Iter = 60
Delta = 0.005063
ObjValue = 221618.438116
Iter = 61
Delta = 0.004649
ObjValue = 221595.706851
Iter = 62
Delta = 0.004056
ObjValue = 221591.027325
Iter = 63
Delta = 0.003928
ObjValue = 221569.658582
Iter = 64
Delta = 0.003575
ObjValue = 221577.881008
Iter = 65
Delta = 0.003427
ObjValue = 221553.354149
Iter = 66
Delta = 0.003448
ObjValue = 221565.757253
Iter = 67
Delta = 0.003606
ObjValue = 221538.824141
Iter = 68
Delta = 0.003338
ObjValue = 221552.987475
Iter = 69
Delta = 0.003334
ObjValue = 221523.216023
Iter = 70
Delta = 0.003403
ObjValue = 221535.634008
Iter = 71
Delta = 0.003359
ObjValue = 221505.984829
Iter = 72
Delta = 0.003253
ObjValue = 221521.099972
Iter = 73
Delta = 0.003318
ObjValue = 221491.863961
Iter = 74
Delta = 0.002952
ObjValue = 221503.980468
Iter = 75
Delta = 0.003007
ObjValue = 221478.397016
Iter = 76
Delta = 0.002921
ObjValue = 221489.098808
Iter = 77
Delta = 0.003039
ObjValue = 221465.407425
Iter = 78
Delta = 0.002841
ObjValue = 221471.970224
Iter = 79
Delta = 0.002850
ObjValue = 221450.762657
Iter = 80
Delta = 0.002725
ObjValue = 221453.912075
Iter = 81
Delta = 0.002568
ObjValue = 221437.346697
Iter = 82
Delta = 0.002368
ObjValue = 221436.841862
Iter = 83
Delta = 0.002409
ObjValue = 221423.992501
Iter = 84
Delta = 0.002369
ObjValue = 221422.165206
Iter = 85
Delta = 0.002334
ObjValue = 221411.139887
Iter = 86
Delta = 0.002292
ObjValue = 221410.266589
Iter = 87
Delta = 0.002183
ObjValue = 221397.945745
Iter = 88
Delta = 0.002175
ObjValue = 221399.870797
Iter = 89
Delta = 0.002061
ObjValue = 221383.640387
Iter = 90
Delta = 0.002003
ObjValue = 221391.831148
Iter = 91
Delta = 0.002036
ObjValue = 221372.518606
Iter = 92
Delta = 0.002054
ObjValue = 221382.419181
Iter = 93
Delta = 0.002100
ObjValue = 221363.995962
Iter = 94
Delta = 0.002113
ObjValue = 221370.103154
Iter = 95
Delta = 0.001930
ObjValue = 221354.044474
Iter = 96
Delta = 0.002039
ObjValue = 221361.582868
Iter = 97
Delta = 0.001963
ObjValue = 221344.542815
Iter = 98
Delta = 0.001906
ObjValue = 221354.756941
Iter = 99
Delta = 0.002047
ObjValue = 221336.060414
Iter = 100
Delta = 0.002048
ObjValue = 221345.838029
Processed in 3447.378 ms
Checking result...
Accuracy = 0.7835051546391752
Accuracy of typeA = 11.0/14.0 = 0.7857142857142857
Accuracy of typeB = 141.0/180.0 = 0.7833333333333333
Accuracy of typeC = null/null = NaN
