#iteration	MRG	ARG	MRR	ARR	GRF	MRO	ARO
0	7047201.723	7047201.723	7284963.574	7284963.574	7284963.574	7284963.574	7284963.574
5	6117645.475	6851098.136	5982718.436	6999872.088	7088060.728	7012398.959	7284567.185
10	6207067.395	6659724.74	6126875.862	6733783.695	7047201.723	6803956.309	7284059.992
20	6248165.304	6397194.698	6243002.332	6386009.629	7020195.611	6715018.787	7282976.425
30	6248534.917	6248832.071	6250767.491	6205112.506	7013142.739	6697993.386	7281847.509
40	6244240.935	6165328.848	6246019.71	6112732.869	7011148.143	6688166.931	7280693.21
50	6236403.791	6117334.627	6240291.555	6065592.871	7010510.812	6684287.622	7279518.302
60	6228648.582	6088790.744	6231793.668	6041388.007	7010269.748	6681837.052	7278324.582
70	6226756.383	6071022.644	6227141.677	6028799.27	7010161.923	6679263.803	7277112.421
80	6226232.185	6059349.11	6226656.712	6022111.499	7010107.353	6677056.801	7275881.513
90	6223693.267	6051229.336	6225560.121	6018442.79	7010077.634	6675792.877	7274631.164
100	6220712.375	6045267.671	6222274.105	6016337.791	7010060.795	6675448.61	7273360.446
